Test Version, drone_x, drone_y, drone_z, us_0, us_1, us_2, us_3, us_4, us_5, raw_accel_x, raw_accel_y, raw_accel_z, filt_accel_x, filt_accel_y, filt_accel_z, raw_vel_x, raw_vel_y, raw_vel_z, filt_vel_x, filt_vel_y, filt_vel_z, raw_pos_x, raw_pos_y, raw_pos_z, filt_pos_x, filt_pos_y, filt_pos_z, heading, compass_x, compass_y, compass_z, millis, recording_enabled,temp
0,0,0,0,2140,133,269,60,132,267,-551.587463,-122.57502,490.300049,-110.31749,-24.515003,98.060013,272.60672,33.58548,4826.880859,54.52137,6.717071,965.377991,4124.46875,2091.454102,96271.98438,824.893494,418.290558,19254.44922,65.305183,0.925,3.8,-0.4,63835.0000000.000000,,14
0,0,0,0,2002,131,251,346,133,285,-551.587463,-183.862518,429.012543,-110.31749,-36.772503,85.802505,260.655701,30.398531,4882.223145,52.131161,6.07968,976.446899,4220.654297,2103.044189,98020.01563,844.130737,420.608643,19604.0625,65.490372,0.9,3.75,-0.275,64570.0000000.000000,,14
0,0,0,0,2064,134,200,2114,131,283,-551.587463,-183.862518,490.300049,-110.31749,-36.772503,98.060013,298.531433,43.452774,4919.545898,59.706291,8.690527,983.912048,4342.944824,2119.774414,100151.8281,868.588867,423.954407,20030.42188,64.770256,0.95,3.75,-0.2,65361.0000000.000000,,14
0,0,0,0,2003,134,284,2114,129,292,-551.587463,-122.57502,429.012512,-110.31749,-24.515003,85.802505,300.737823,46.517155,4976.054688,60.147564,9.303405,995.21344,4497.791504,2145.486328,102458.75,899.558228,429.09668,20491.80664,64.504341,0.975,3.775,-0.15,66176.0000000.000000,,14
0,0,0,0,2060,138,267,62,130,296,-551.587463,-61.287521,429.012512,-110.31749,-12.257504,85.802505,317.530609,55.403851,5013.563965,63.506138,11.080744,1002.715088,4612.708496,2164.339111,104296.4844,922.541321,432.867096,20859.35742,65.936081,0.875,3.775,-0.3,66876.0000000.000000,,14
0,0,0,0,2128,135,297,61,132,284,674.162415,0.000021,-245.150024,134.832489,0.000004,-49.030006,359.022247,59.816551,5037.834473,71.804459,11.963285,1007.569214,4740.27832,2185.892822,106134.1953,948.05542,437.177917,21226.89648,64.318291,0.975,3.725,-0.175,67556.0000000.000000,,14
0,0,0,0,2045,132,201,60,131,200,-674.162415,-0.000021,551.587524,-134.832489,-0.000004,110.317505,327.397858,63.984097,5104.39502,65.479568,12.796795,1020.880981,4867.67334,2208.851318,108037.0703,973.534424,441.769653,21607.46484,65.490372,0.9,3.75,-0.175,68216.0000000.000000,,14
0,0,0,0,2099,133,268,105,128,251,-735.44989,122.574982,551.587524,-147.089981,24.514996,110.317505,349.461395,63.371223,5139.820312,69.892273,12.674218,1027.965698,4999.706055,2234.569824,110045.7109,999.940552,446.913269,22009.19727,63.959,1,3.725,-0.35,68883.0000000.000000,,14
0,0,0,0,2066,134,296,112,129,267,796.737366,-122.574989,-183.862518,159.347473,-24.514997,-36.772503,331.320343,71.951485,5187.133301,66.264053,14.390268,1037.428467,5110.028809,2257.1604,111729.4531,1022.004944,451.431274,22345.94336,64.860619,0.95,3.775,-0.225,69567.0000000.000000,,14
0,0,0,0,2045,141,251,2386,131,285,-796.737366,122.574989,367.725006,-159.347473,24.514997,73.544998,241.166382,86.966911,5276.614258,48.233273,17.393354,1055.323853,5239.451172,2293.81958,114127.4297,1047.889771,458.763214,22825.54297,64.59565,0.975,3.8,-0.225,70413.0000000.000000,,14
